model,train_time_s,accuracy,precision,recall,f1,roc_auc
LightGBM,1.2495934963226318,0.9470060504902984,0.9617737003058104,0.9423220973782771,0.9519485433219826,0.9831171155383766
RandomForest,16.10563826560974,0.9429723902913971,0.9600716662400819,0.9365792759051186,0.9481799797775531,0.9824377755157286
CatBoost,38.67375612258911,0.9437373948118785,0.9610705596107056,0.9369538077403246,0.9488589670649219,0.9821318500249628
GradientBoosting,14.455957174301147,0.9397732804784755,0.9603092783505155,0.9303370786516854,0.9450856055802156,0.9743651805944407
MLP,3348.949078321457,0.9372000834550386,0.9558691468890315,0.9302122347066167,0.942866181588105,0.9741068287030912
SVC_linear,1201.8538386821747,0.8813547534599068,0.8757749165474488,0.917103620474407,0.8959629223075984,0.935633596252447
LogisticRegression,0.1335763931274414,0.8780860977814869,0.8780664652567975,0.9071161048689138,0.8923549278477126,0.9342641450110739
